timestamp,device_id,device_type,location,cpu_usage_pct,memory_usage_pct,latency_ms,packet_loss_pct,bandwidth_utilization_pct,error_rate,temperature_celsius,fault_type,fault_label,is_anomaly
2026-03-14T03:01:18.750845+00:00,device-10,load_balancer,branch-chicago,9.76,24.2,21.89,0.2033,43.91,0.00023,38.5,healthy,0,0
2026-03-18T19:31:18.750845+00:00,device-04,firewall,datacenter-west,22.91,40.81,26.22,0.2245,5.86,0.00073,31.6,healthy,0,0
2026-03-15T00:45:18.750845+00:00,device-15,load_balancer,branch-newyork,62.96,63.54,35.18,0.1176,57.63,0.00291,49.5,healthy,0,0
2026-03-23T05:51:18.750845+00:00,device-01,switch,datacenter-central,52.31,94.15,491.93,7.6836,51.36,0.02038,61.6,memory_exhaustion,2,1
2026-03-12T16:51:18.750845+00:00,device-12,server,branch-chicago,51.36,41.39,42.09,0.1996,52.32,0.00238,39.7,healthy,0,0
2026-03-12T09:24:18.750845+00:00,device-07,router,branch-chicago,41.85,38.91,1474.01,12.4035,60.22,0.22447,51.3,packet_loss,3,1
2026-03-19T06:13:18.750845+00:00,device-01,server,branch-newyork,32.38,36.72,28.79,0.08,37.46,0.00199,35.2,healthy,0,0
2026-03-13T19:11:18.750845+00:00,device-17,switch,branch-losangeles,34.4,69.54,42.52,0.2617,21.52,0.00241,42.4,healthy,0,0
2026-03-25T06:31:18.750845+00:00,device-06,router,branch-chicago,22.25,54.6,1395.5,17.5148,46.21,0.19538,51.5,packet_loss,3,1
2026-03-19T19:23:18.750845+00:00,device-14,switch,branch-chicago,5.7,57.79,1.41,0.2012,12.26,0.0027,33.9,healthy,0,0
2026-03-12T14:17:18.750845+00:00,device-29,load_balancer,datacenter-east,27.99,40.64,31.1,0.0895,34.18,0.00369,36.9,healthy,0,0
2026-03-17T20:09:18.750845+00:00,device-24,server,branch-losangeles,51.24,33.81,45.0,0.1476,36.57,0.00437,46.2,healthy,0,0
2026-03-16T14:11:18.750845+00:00,device-33,firewall,datacenter-east,5.74,39.07,44.79,0.1121,12.9,0.00142,33.9,healthy,0,0
2026-03-14T07:23:18.750845+00:00,device-16,server,branch-losangeles,22.81,13.75,36.09,0.2985,62.53,0.00277,48.5,healthy,0,0
2026-03-15T01:11:18.750845+00:00,device-39,firewall,branch-chicago,13.99,68.09,31.42,0.0745,42.08,0.00131,31.6,healthy,0,0
2026-03-22T15:56:18.750845+00:00,device-23,load_balancer,branch-chicago,94.9,81.54,1991.86,25.6323,96.86,0.32491,70.2,ddos_attack,5,1
2026-03-18T13:25:18.750845+00:00,device-15,router,datacenter-central,62.84,11.9,27.4,0.229,41.51,0.00395,43.7,healthy,0,0
2026-03-22T01:23:18.750845+00:00,device-03,load_balancer,branch-losangeles,24.51,42.66,41.14,0.0952,33.68,0.00159,35.1,healthy,0,0
2026-03-16T02:13:18.750845+00:00,device-22,switch,branch-losangeles,22.53,56.0,994.97,38.8683,59.19,0.08021,41.6,packet_loss,3,1
2026-03-22T03:07:18.750845+00:00,device-10,router,datacenter-east,59.66,13.36,9.46,0.1724,11.63,0.00021,40.2,healthy,0,0
2026-03-25T12:02:18.750845+00:00,device-28,switch,branch-newyork,56.43,91.11,285.87,3.5647,65.95,0.09888,66.2,memory_exhaustion,2,1
2026-03-17T04:23:18.750845+00:00,device-34,firewall,branch-losangeles,49.75,30.8,43.4,0.0224,35.59,0.00281,44.3,healthy,0,0
2026-03-15T06:43:18.750845+00:00,device-32,router,datacenter-east,60.51,49.65,24.36,0.2588,36.19,0.00022,42.1,healthy,0,0
2026-03-14T19:08:18.750845+00:00,device-22,firewall,datacenter-east,91.11,89.18,4169.37,29.7654,98.02,0.39905,81.0,ddos_attack,5,1
2026-03-12T21:27:18.750845+00:00,device-40,firewall,branch-chicago,57.34,61.05,17.46,0.2974,46.1,0.00048,41.7,healthy,0,0
2026-03-18T09:29:18.750845+00:00,device-11,router,branch-newyork,71.32,84.45,1064.27,34.3378,87.12,0.14475,60.9,bgp_flapping,4,1
2026-03-14T16:31:18.750845+00:00,device-40,server,datacenter-central,20.86,48.0,29.58,0.1983,26.76,0.00392,42.3,healthy,0,0
2026-03-21T02:13:18.750845+00:00,device-02,firewall,datacenter-central,23.23,32.56,17.13,0.2963,63.68,0.00043,44.8,healthy,0,0
2026-03-21T09:49:18.750845+00:00,device-35,switch,datacenter-west,55.01,27.05,19.01,0.2784,37.86,0.00103,41.9,healthy,0,0
2026-03-13T01:37:18.750845+00:00,device-24,load_balancer,datacenter-central,57.67,63.76,38.8,0.2181,23.2,0.00306,35.9,healthy,0,0
2026-03-20T20:53:18.750845+00:00,device-28,server,datacenter-central,29.27,12.67,5.75,0.1782,13.69,0.00174,35.1,healthy,0,0
2026-03-12T01:59:18.750845+00:00,device-09,load_balancer,datacenter-central,19.32,35.23,6.68,0.2863,32.71,0.00127,38.7,healthy,0,0
2026-03-18T17:31:18.750845+00:00,device-31,firewall,datacenter-central,43.84,31.4,24.49,0.1743,19.09,0.00306,36.9,healthy,0,0
2026-03-19T15:25:18.750845+00:00,device-01,router,datacenter-central,75.86,70.19,2100.79,27.731,75.23,0.13884,66.1,bgp_flapping,4,1
2026-03-23T12:45:18.750845+00:00,device-40,router,datacenter-central,91.48,80.86,1962.2,17.7144,88.18,0.43315,69.5,bgp_flapping,4,1
2026-03-12T07:11:18.750845+00:00,device-11,switch,datacenter-east,59.38,12.1,7.63,0.0679,53.88,0.0004,44.5,healthy,0,0
2026-03-13T16:13:18.750845+00:00,device-47,router,datacenter-central,41.05,23.56,25.83,0.0474,42.1,0.00042,32.8,healthy,0,0
2026-03-17T07:33:18.750845+00:00,device-21,firewall,branch-chicago,9.58,18.54,4.31,0.1771,34.42,0.00047,34.6,healthy,0,0
2026-03-14T03:31:18.750845+00:00,device-06,switch,branch-newyork,29.18,42.08,23.74,0.0027,25.54,0.00189,33.5,healthy,0,0
2026-03-14T01:51:18.750845+00:00,device-41,firewall,datacenter-west,26.59,28.69,16.3,0.045,39.36,0.00373,33.5,healthy,0,0
2026-03-16T02:41:18.750845+00:00,device-11,firewall,branch-newyork,56.36,60.06,41.89,0.2726,57.32,0.00011,32.8,healthy,0,0
2026-03-17T18:23:18.750845+00:00,device-05,firewall,datacenter-west,5.02,65.92,19.5,0.1941,42.15,0.00326,37.8,healthy,0,0
2026-03-14T10:15:18.750845+00:00,device-23,router,branch-losangeles,53.56,40.45,15.08,0.2707,30.33,0.00262,43.9,healthy,0,0
2026-03-18T04:03:18.750845+00:00,device-16,router,datacenter-central,29.26,63.85,3.24,0.1558,16.04,0.00126,41.5,healthy,0,0
2026-03-15T11:15:18.750845+00:00,device-29,load_balancer,datacenter-central,58.45,13.08,11.44,0.2214,61.36,0.00317,47.0,healthy,0,0
2026-03-21T17:59:18.750845+00:00,device-30,firewall,branch-newyork,8.21,61.02,9.02,0.2839,19.72,0.00252,42.3,healthy,0,0
2026-03-15T02:59:18.750845+00:00,device-30,switch,branch-losangeles,38.47,23.82,12.49,0.1457,52.43,0.00058,47.9,healthy,0,0
2026-03-21T07:59:18.750845+00:00,device-10,server,datacenter-east,22.73,36.72,42.52,0.0182,52.63,0.0001,44.6,healthy,0,0
2026-03-13T14:41:18.750845+00:00,device-16,router,branch-chicago,95.32,80.82,100.32,1.7731,75.94,0.01234,77.5,high_cpu,1,1
2026-03-21T19:37:18.750845+00:00,device-02,load_balancer,branch-losangeles,30.16,51.25,20.03,0.2625,30.05,0.00272,40.8,healthy,0,0
2026-03-15T09:39:18.750845+00:00,device-17,switch,branch-chicago,54.97,17.63,36.22,0.0604,49.42,0.00053,31.2,healthy,0,0
2026-03-15T22:23:18.750845+00:00,device-35,router,datacenter-east,55.78,37.84,24.16,0.2929,14.74,0.00156,45.5,healthy,0,0
2026-03-19T13:49:18.750845+00:00,device-06,server,branch-newyork,32.99,65.31,41.27,0.1924,25.7,0.00269,32.2,healthy,0,0
2026-03-17T07:21:18.750845+00:00,device-50,router,branch-newyork,10.4,49.32,2.56,0.0852,24.92,3e-05,35.8,healthy,0,0
2026-03-13T14:51:18.750845+00:00,device-16,switch,datacenter-west,5.47,46.47,5.41,0.1605,32.7,0.00015,34.5,healthy,0,0
2026-03-17T08:53:18.750845+00:00,device-11,router,datacenter-west,37.53,53.72,17.02,0.2597,5.62,0.00252,36.9,healthy,0,0
2026-03-13T00:25:18.750845+00:00,device-36,switch,branch-newyork,40.81,40.54,26.69,0.1674,18.85,0.00468,44.9,healthy,0,0
